"Jul.Day,""YYYY/MM/DD"",""Wdy"",""EUR/USD"",""GBP/USD"",""CNY/USD"",""INR/USD""\"
"2456476,""2013/07/02"",""Tue"",0.76828,0.65920,6.1328,59.559\"
"2456477,""2013/07/03"",""Wed"",0.76894,0.65519,6.1323,60.235\"
"2456478,""2013/07/04"",""Thu"",0.77415,0.66345,6.1265,60.109\"
"2456479,""2013/07/05"",""Fri"",0.77935,0.67073,6.1335,60.354\"
"2456482,""2013/07/08"",""Mon"",0.77742,0.66971,6.1346,60.782\"
"2456483,""2013/07/09"",""Tue"",0.78284,0.67405,6.1292,60.103\"
"2456484,""2013/07/10"",""Wed"",0.77848,0.66962,6.1324,59.892\"
"2456485,""2013/07/11"",""Thu"",0.76649,0.66117,6.1364,59.844\"
"2456486,""2013/07/12"",""Fri"",0.76648,0.66200,6.1382,59.896\"
"2456489,""2013/07/15"",""Mon"",0.76690,0.66283,6.1361,59.914\"
"2456490,""2013/07/16"",""Tue"",0.76086,0.66132,6.1359,59.292\"
"2456491,""2013/07/17"",""Wed"",0.76374,0.65864,6.1360,59.334\"
"2456492,""2013/07/18"",""Thu"",0.76475,0.65823,6.1406,59.610\"
"2456493,""2013/07/19"",""Fri"",0.76098,0.65539,6.1392,59.387\"
"2456496,""2013/07/22"",""Mon"",0.75801,0.65086,6.1420,59.717\"
"2456497,""2013/07/23"",""Tue"",0.75692,0.65133,6.1370,59.630\"
"2456498,""2013/07/24"",""Wed"",0.75598,0.65082,6.1371,59.150\"
"2456499,""2013/07/25"",""Thu"",0.75560,0.65223,6.1354,59.030\"
"2456500,""2013/07/26"",""Fri"",0.75359,0.65075,6.1329,59.076\"
"2456503,""2013/07/29"",""Mon"",0.75404,0.65124,6.1333,59.346\"
"2456504,""2013/07/30"",""Tue"",0.75379,0.65602,6.1304,60.762\"
"2456505,""2013/07/31"",""Wed"",0.75225,0.65866,6.1305,60.798\"
"2456506,""2013/08/01"",""Thu"",0.75664,0.66036,6.1317,60.456\"
"2456507,""2013/08/02"",""Fri"",0.75363,0.65452,6.1287,61.107\"
"2456511,""2013/08/06"",""Tue"",0.75221,0.65080,6.1233,60.803\"
"2456512,""2013/08/07"",""Wed"",0.75038,0.64471,6.1199,61.199\"
"2456513,""2013/08/08"",""Thu"",0.74677,0.64285,6.1231,60.728\"
